country,GWn,year,gdpPercap
Afghanistan,700,1983,862.547687708104
Afghanistan,700,1985,818.9504214271467
Afghanistan,700,1991,600.5932101902083
Albania,339,2000,2962.2793571530156
Algeria,615,1967,1824.1697664511657
Algeria,615,1968,1977.4309462676094
Algeria,615,1977,2758.686938258641
Algeria,615,1986,3301.1815356153506
Algeria,615,2006,3385.7718510347013
Angola,540,1953,1125.5659270024034
Angola,540,1957,1197.230388035501
Angola,540,2002,825.4988259145676
Argentina,160,1903,2992.315232360454
Argentina,160,1912,3903.6228674758304
Argentina,160,1926,3994.0184401987035
Argentina,160,1954,4979.828647781802
Argentina,160,1975,8122.497304642149
Australia,900,1921,4910.822193737411
Australia,900,1922,5063.688554000717
Australia,900,1978,13768.650955181562
Austria,305,1904,2955.8501926782274
Austria,305,1924,3162.7758305394696
Austria,305,1960,6518.540002556958
Austria,305,1967,8296.735338683839
Austria,305,1973,11234.604273729045
Austria,305,1992,17409.042611658668
Austria,305,1993,17339.45372155321
Austria,305,1994,17669.83658754737
Austria,305,2003,21554.853442382755
Bahrain,692,1955,2517.8202544654996
Bahrain,692,1968,3520.2742490345245
Bangladesh,771,1954,547.0130793356442
Bangladesh,771,1963,594.1799036095935
Bangladesh,771,1967,578.3758459973538
Bangladesh,771,1987,602.2308868319633
Bangladesh,771,2003,939.7563729306053
Belarus (Byelorussia),370,2010,13658.554574556769
Belgium,211,1921,4056.3069029850744
Belgium,211,1951,5746.921144092922
Belgium,211,1987,15540.921156612834
Belgium,211,2006,22867.021804458396
Benin,434,1956,961.5721631134984
Benin,434,1969,1032.9345151394127
Benin,434,1970,1027.4128471689396
Benin,434,1982,1242.349042697302
Benin,434,1983,1152.3816951469666
Benin,434,2001,1305.4528684431625
Bolivia,145,1947,1710.2194787379972
Bolivia,145,1956,1705.9208821902496
Bolivia,145,1974,2418.144212966824
Bolivia,145,2002,2551.1812129718614
Bolivia,145,2003,2567.288216849064
Bosnia-Herzegovina,346,1972,2923.536196988011
Bosnia-Herzegovina,346,1973,3012.284718533775
Botswana,571,1956,382.5684726316542
Botswana,571,1978,1537.3301789296481
Botswana,571,1982,1921.3623835552173
Brazil,140,1954,1847.598649350644
Brazil,140,1989,5223.67969648659
Brazil,140,2002,5481.246625030065
Bulgaria,355,1925,1222.8290667166827
Bulgaria,355,1929,1227.0106065047191
Bulgaria,355,1938,1498.874533029191
Bulgaria,355,1941,1496.863563512807
Burkina Faso (Upper Volta),439,1967,731.0268673446976
Burkina Faso (Upper Volta),439,1987,838.272041668942
Burkina Faso (Upper Volta),439,2006,1142.1010030306347
Burkina Faso (Upper Volta),439,2009,1179.8849629403355
Burundi,516,1952,379.2172313701046
Burundi,516,1987,694.9804657842077
Cambodia (Kampuchea),811,1971,615.2962429437526
Canada,20,1923,3975.9576490924815
Canada,20,1948,7065.324127465857
Canada,20,1978,15680.200363616697
Canada,20,1989,19108.487068697887
