country,GWn,year,pop,region
Afghanistan,700,1983,15177000,Asia: Southern Asia
Afghanistan,700,1985,14519000,Asia: Southern Asia
Afghanistan,700,1991,15403000,Asia: Southern Asia
Albania,339,2000,3113000,Europe: Southern Europe
Algeria,615,1967,13078000,Africa: Northern Africa
Algeria,615,1968,13495000,Africa: Northern Africa
Algeria,615,1977,17058000,Africa: Northern Africa
Algeria,615,1986,22520000,Africa: Northern Africa
Algeria,615,2006,33749328,Africa: Northern Africa
NA,540,1953,NA,NA: NA
NA,540,1957,NA,NA: NA
Angola,540,2002,12888000,Africa: Middle Africa
Argentina,160,1903,4980000,Americas: South America
Argentina,160,1912,7470000,Americas: South America
Argentina,160,1926,10800000,Americas: South America
Argentina,160,1954,18564000,Americas: South America
Argentina,160,1975,26049000,Americas: South America
Australia,900,1921,5455000,Oceania: Australia and New Zealand
Australia,900,1922,5570000,Oceania: Australia and New Zealand
Australia,900,1978,14359000,Oceania: Australia and New Zealand
NA,305,1904,NA,NA: NA
Austria,305,1924,6562000,Europe: Western Europe
Austria,305,1960,7048000,Europe: Western Europe
Austria,305,1967,7371000,Europe: Western Europe
Austria,305,1973,7586000,Europe: Western Europe
Austria,305,1992,7914000,Europe: Western Europe
Austria,305,1993,7991000,Europe: Western Europe
Austria,305,1994,8030000,Europe: Western Europe
Austria,305,2003,8211000,Europe: Western Europe
NA,692,1955,NA,NA: NA
Bahrain,692,1968,200953,Asia: Western Asia
NA,771,1954,NA,NA: NA
Bangladesh,771,1963,52532595,Asia: Southern Asia
Bangladesh,771,1967,59625294,Asia: Southern Asia
Bangladesh,771,1987,102563000,Asia: Southern Asia
Bangladesh,771,2003,129230000,Asia: Southern Asia
Belarus (Byelorussia),370,2010,9490000,Europe: Eastern Europe
Belgium,211,1921,7482000,Europe: Western Europe
Belgium,211,1951,8678000,Europe: Western Europe
Belgium,211,1987,9870000,Europe: Western Europe
Belgium,211,2006,10547958,Europe: Western Europe
NA,434,1956,NA,NA: NA
Benin,434,1969,2646000,Africa: Western Africa
Benin,434,1970,2718000,Africa: Western Africa
Benin,434,1982,3687000,Africa: Western Africa
Benin,434,1983,3805000,Africa: Western Africa
Benin,434,2001,6098000,Africa: Western Africa
Bolivia,145,1947,2920000,Americas: South America
Bolivia,145,1956,3392000,Americas: South America
Bolivia,145,1974,4644000,Americas: South America
Bolivia,145,2002,8333000,Americas: South America
Bolivia,145,2003,8335000,Americas: South America
Bosnia-Herzegovina,346,1972,3838002,Europe: Southern Europe
Bosnia-Herzegovina,346,1973,3885229,Europe: Southern Europe
NA,571,1956,NA,NA: NA
Botswana,571,1978,763000,Africa: Southern Africa
