county,hh_num,hh_income
King,789232,68065
San Juan,7613,50726
Snohomish,268325,66300
Kitsap,97220,59549
Washington,2620076,57244
Thurston,100650,60930
Island,32746,57190
Jefferson,14049,46048
Clark,158099,58262
Pierce,299918,57869
Benton,65304,57354
Skagit,45557,54811
Columbia,1762,43611
Whatcom,80370,49031
Spokane,187167,47250
Lincoln,4422,45582
Clallam,31329,44398
Chelan,27827,48674
Skamania,4522,48704
Asotin,9236,41665
Kittitas,16595,41232
Pacific,9499,39642
Wahkiakum,1737,40372
Walla Walla,21719,45575
Cowlitz,40244,45877
Garfield,989,42269
Pend Oreille,5479,38896
Mason,23832,48104
Douglas,13894,48708
Stevens,17316,42845
Lewis,29743,43874
Grays Harbor,28579,41899
Klickitat,8327,37398
Okanogan,16519,38551
Grant,30041,42572
Whitman,17468,36368
Yakima,80592,42877
Franklin,23245,47749
Ferry,3190,35485
Adams,5720,40829
