vote92,nonwhite,rlibcon,pe,lower,upper
Clinton,0,1,0.7466746625813574,0.6253316836293011,0.8441797785330434
Clinton,0,2,0.6489567579671512,0.5433385726042446,0.7419124513518089
Clinton,0,3,0.5339550433110286,0.4512529391401312,0.6144277870662087
Clinton,0,4,0.4131801440621638,0.34660454684433684,0.48292103156234095
Clinton,0,5,0.3012709794442696,0.2374198351310295,0.36989880012313353
Clinton,0,6,0.20905258063187857,0.14383256115207757,0.282889573308905
Clinton,0,7,0.13991906551234967,0.07997354146331027,0.2189551546569705
Clinton,1,1,0.8879194545378227,0.7291046647806237,0.9658662656336616
Clinton,1,2,0.8336795777812442,0.6480576923639676,0.9375865533633063
Clinton,1,3,0.7583179344393806,0.5566346860251913,0.8952346450937211
Clinton,1,4,0.6604694483912736,0.44573161789347926,0.8312807991993786
Clinton,1,5,0.5448997975501908,0.3343488227586786,0.7370485312038026
Clinton,1,6,0.4234192678215493,0.23257386091029505,0.6365595496227445
Clinton,1,7,0.3106360693788267,0.1500407873276986,0.5277213234355478
Perot,0,1,0.13518312329664495,0.06829690683889433,0.22033951633916968
Perot,0,2,0.1815459897429643,0.11425633683872619,0.2613950845761977
Perot,0,3,0.23302187353494097,0.17228085759376585,0.3049090765428393
Perot,0,4,0.2829972693716948,0.2274921640405081,0.3458928787953352
Perot,0,5,0.3243616076053826,0.2636314313359678,0.39151597352623885
Perot,0,6,0.35302024386755326,0.2760118522772375,0.442071651761903
Perot,0,7,0.3690198556044144,0.259322891789249,0.49844016344018965
Perot,1,1,0.035398206801858845,0.006460934226390526,0.10586961174108794
Perot,1,2,0.05002955623926153,0.010662505019563883,0.146142076073033
Perot,1,3,0.06904050722623047,0.0169031285906192,0.18914863247060126
Perot,1,4,0.09192570333846832,0.026131974037653813,0.2342045780842862
Perot,1,5,0.11672832377363812,0.03527118564075257,0.2835892336721782
Perot,1,6,0.1403300524122584,0.04192526014466621,0.33214905401349787
Perot,1,7,0.15976937755525128,0.04600201919886487,0.360366542985495
Bush,0,1,0.11814221412199766,0.05644109379712317,0.21644034642859233
Bush,0,2,0.1694972522898844,0.09961335730692526,0.2617375996223518
Bush,0,3,0.23302308315403042,0.16330850846822972,0.3135480460442965
Bush,0,4,0.3038225865661414,0.23747254777901738,0.3708563366198888
Bush,0,5,0.3743674129503478,0.3045949053439605,0.44682714205183793
Bush,0,6,0.4379271755005682,0.3459294651601209,0.5375385801628907
Bush,0,7,0.49106107888323586,0.3581811208286985,0.6293628995151278
Bush,1,1,0.07668233866031837,0.020186346608951085,0.21474430508244496
Bush,1,2,0.11629086597949426,0.03803545417423814,0.272105468328258
Bush,1,3,0.17264155833438902,0.06593024159195962,0.3456883328540558
Bush,1,4,0.24760484827025805,0.10662147388665462,0.4329973032639494
Bush,1,5,0.3383718786761711,0.16277945536371685,0.5471221847177471
Bush,1,6,0.4362506797661923,0.2321685918000655,0.6621023504335808
Bush,1,7,0.5295945530659221,0.30202671313427004,0.7619177484237982
