origRegion,destRegion,flow
Caribbean,Caribbean,40506
Caribbean,Central America,8183
Caribbean,Northern America,533052
Caribbean,Northern Europe,15584
Caribbean,South America,3264
Caribbean,Southern Europe,21711
Caribbean,Western Europe,14875
Central America,Central America,99171
Central America,Northern America,1262880
Central America,Northern Europe,1136
Central America,Oceania,2488
Central America,Southern Europe,19035
Central America,Western Europe,5946
Central Asia,Central Asia,77252
Central Asia,Eastern Asia,23684
Central Asia,Eastern Europe,561088
Central Asia,Northern America,9181
Central Asia,Western Europe,4955
Eastern Africa,Eastern Africa,444352
Eastern Africa,Middle Africa,47335
Eastern Africa,Northern Africa,206488
Eastern Africa,Northern America,327142
Eastern Africa,Northern Europe,258845
Eastern Africa,Oceania,28223
Eastern Africa,Southern Africa,436508
Eastern Africa,Southern Europe,30508
Eastern Africa,Western Asia,123566
Eastern Africa,Western Europe,81705
Eastern Asia,Central America,12786
Eastern Asia,Central Asia,22833
Eastern Asia,Eastern Africa,1649
Eastern Asia,Eastern Asia,809560
Eastern Asia,Eastern Europe,41942
Eastern Asia,Northern America,808482
Eastern Asia,Northern Europe,78224
Eastern Asia,Oceania,155518
Eastern Asia,South America,17428
Eastern Asia,South-Eastern Asia,131667
Eastern Asia,Southern Africa,10067
Eastern Asia,Southern Europe,45782
Eastern Asia,Western Europe,83828
Eastern Europe,Central Asia,104640
Eastern Europe,Eastern Asia,1139
Eastern Europe,Eastern Europe,595613
Eastern Europe,Northern America,32099
Eastern Europe,Northern Europe,60178
Eastern Europe,Oceania,2149
Eastern Europe,Southern Europe,142113
Eastern Europe,Western Asia,82738
Eastern Europe,Western Europe,340478
Middle Africa,Eastern Africa,62145
Middle Africa,Middle Africa,185097
Middle Africa,Northern Africa,35317
Middle Africa,Northern America,31344
Middle Africa,Northern Europe,7677
Middle Africa,Southern Africa,50645
Middle Africa,Southern Europe,13312
Middle Africa,Western Africa,2894
Middle Africa,Western Europe,66087
Northern Africa,Central Asia,3281
Northern Africa,Eastern Africa,93890
Northern Africa,Eastern Europe,7806
Northern Africa,Middle Africa,118920
Northern Africa,Northern Africa,672396
Northern Africa,Northern America,152208
Northern Africa,Northern Europe,83745
Northern Africa,Oceania,16693
Northern Africa,South-Eastern Asia,1592
Northern Africa,Southern Africa,9048
Northern Africa,Southern Europe,144699
Northern Africa,Western Africa,2309
Northern Africa,Western Asia,518674
Northern Africa,Western Europe,407566
Northern America,Caribbean,3990
Northern America,Central America,169698
Northern America,Central Asia,57256
Northern America,Eastern Asia,38338
Northern America,Eastern Europe,110919
Northern America,Northern America,112105
Northern America,Northern Europe,64022
Northern America,Oceania,36891
Northern America,South America,24854
Northern America,South-Eastern Asia,1528
Northern America,Southern Africa,7849
Northern America,Southern Europe,11548
Northern America,Western Asia,24090
Northern America,Western Europe,128337
Northern Europe,Central Asia,29280
Northern Europe,Eastern Asia,1678
Northern Europe,Eastern Europe,203523
Northern Europe,Northern America,190775
